	Generation 1
	Model 12  	840
	Model 13  	838
	Model 14  	840
	Model 15  	1258
	Model 16  	1680
	Model 17  	840
	Model 18  	830
	Model 19  	840
	Model 20  	2100
Average Fitness: 1133.2
Best Fitness: 2518

Generation 26
	Model 1  	840
	Model 2  	840
	Model 3  	1853
	Model 4  	1104
	Model 5  	1260
	Model 6  	1256
	Model 7  	2088
	Model 8  	840
	Model 9  	1260
	Model 10  	5131
	Model 11  	840
	Model 12  	1260
	Model 13  	1260
	Model 14  	1255
	Model 15  	840
	Model 16  	1670
	Model 17  	840
	Model 18  	840
	Model 19  	1260
	Model 20  	1254
Average Fitness: 1389.55
Best Fitness: 5131

Generation 27
	Model 1  	1254
	Model 2  	3254
	Model 3  	3866
	Model 4  	1260
	Model 5  	1242
	Model 6  	1502
	Model 7  	2248
	Model 8  	1238
	Model 9  	1253
	Model 10  	1245
	Model 11  	822
	Model 12  	486
	Model 13  	1216
	Model 14  	1260
	Model 15  	1639
	Model 16  	3852
	Model 17  	1260
	Model 18  	3577
	Model 19  	1259
	Model 20  	1260
Average Fitness: 1749.65
Best Fitness: 3866

Generation 28
	Model 1  	840
	Model 2  	1548
	Model 3  	733
	Model 4  	2779
	Model 5  	7219
	Model 6  	1946
	Model 7  	1260
	Model 8  	1337
	Model 9  	1260
	Model 10  	1231
	Model 11  	831
	Model 12  	835
	Model 13  	1259
	Model 14  	1248
	Model 15  	836
	Model 16  	840
	Model 17  	798
	Model 18  	836
	Model 19  	3771
	Model 20  	733
Average Fitness: 1607.0
Best Fitness: 7219

Generation 29
	Model 1  	3478
	Model 2  	1174
	Model 3  	1256
	Model 4  	6435
	Model 5  	839
	Model 6  	830
	Model 7  	1239
	Model 8  	1094
	Model 9  	1099
	Model 10  	179
	Model 11  	585
	Model 12  	206
	Model 13  	804
	Model 14  	1244
	Model 15  	1258
	Model 16  	1496
	Model 17  	1255
	Model 18  	4364
	Model 19  	1260
	Model 20  	397
Average Fitness: 1524.6
Best Fitness: 6435
